version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
bare,"No lemmatization, stop-words included",50,1,50,2604,433,2171,289,262,0.9065743944636678,46,216,25,2,0.647887323943662,0.9583333333333334,0.1662826420890937,0.8337173579109063,93103,320855
bare,"No lemmatization, stop-words included",50,2,50,2604,433,2171,289,263,0.9100346020761245,44,219,22,4,0.6666666666666666,0.9166666666666666,0.1662826420890937,0.8337173579109063,93762,311642
bare,"No lemmatization, stop-words included",50,3,50,2604,433,2171,289,270,0.9342560553633218,47,223,18,1,0.7230769230769231,0.9791666666666666,0.1662826420890937,0.8337173579109063,87961,311624
bare,"No lemmatization, stop-words included",50,4,50,2604,433,2171,289,268,0.9273356401384083,41,227,14,7,0.7454545454545455,0.8541666666666666,0.1662826420890937,0.8337173579109063,92318,313192
bare,"No lemmatization, stop-words included",50,5,50,2603,433,2170,290,282,0.9724137931034482,41,241,1,7,0.9761904761904762,0.8541666666666666,0.16634652324241261,0.8336534767575874,95462,313869
bare,"No lemmatization, stop-words included",50,6,50,2604,433,2171,289,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.1662826420890937,0.8337173579109063,84968,309154
bare,"No lemmatization, stop-words included",50,7,50,2604,433,2171,289,272,0.9411764705882353,46,226,15,2,0.7540983606557377,0.9583333333333334,0.1662826420890937,0.8337173579109063,90436,308802
bare,"No lemmatization, stop-words included",50,8,50,2604,433,2171,289,260,0.8996539792387543,39,221,20,9,0.6610169491525424,0.8125,0.1662826420890937,0.8337173579109063,95853,319138
bare,"No lemmatization, stop-words included",50,9,50,2604,433,2171,289,268,0.9273356401384083,38,230,11,10,0.7755102040816326,0.7916666666666666,0.1662826420890937,0.8337173579109063,91964,311799
bare,"No lemmatization, stop-words included",50,10,50,2602,432,2170,291,283,0.9725085910652921,42,241,1,7,0.9767441860465116,0.8571428571428571,0.1660261337432744,0.8339738662567256,96368,303946
bare,"No lemmatization, stop-words included",100,1,100,2604,433,2171,289,270,0.9342560553633218,47,223,18,1,0.7230769230769231,0.9791666666666666,0.1662826420890937,0.8337173579109063,115421,382308
bare,"No lemmatization, stop-words included",100,2,100,2604,433,2171,289,268,0.9273356401384083,43,225,16,5,0.7288135593220338,0.8958333333333334,0.1662826420890937,0.8337173579109063,116396,371035
