version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
lemm,"Lemmatized, stop-words included",50,1,50,2604,433,2171,289,268,0.9273356401384083,46,222,19,2,0.7076923076923077,0.9583333333333334,0.1662826420890937,0.8337173579109063,99561,331896
lemm,"Lemmatized, stop-words included",50,2,50,2604,433,2171,289,270,0.9342560553633218,43,227,14,5,0.7543859649122807,0.8958333333333334,0.1662826420890937,0.8337173579109063,99831,322608
lemm,"Lemmatized, stop-words included",50,3,50,2604,433,2171,289,271,0.9377162629757786,47,224,17,1,0.734375,0.9791666666666666,0.1662826420890937,0.8337173579109063,93503,322877
lemm,"Lemmatized, stop-words included",50,4,50,2604,433,2171,289,271,0.9377162629757786,41,230,11,7,0.7884615384615384,0.8541666666666666,0.1662826420890937,0.8337173579109063,98089,324664
lemm,"Lemmatized, stop-words included",50,5,50,2603,433,2170,290,280,0.9655172413793104,39,241,1,9,0.975,0.8125,0.16634652324241261,0.8336534767575874,101600,325890
lemm,"Lemmatized, stop-words included",50,6,50,2604,433,2171,289,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.1662826420890937,0.8337173579109063,88768,322549
lemm,"Lemmatized, stop-words included",50,7,50,2604,433,2171,289,272,0.9411764705882353,45,227,14,3,0.7627118644067796,0.9375,0.1662826420890937,0.8337173579109063,94778,321773
lemm,"Lemmatized, stop-words included",50,8,50,2604,433,2171,289,263,0.9100346020761245,39,224,17,9,0.6964285714285714,0.8125,0.1662826420890937,0.8337173579109063,102675,329756
lemm,"Lemmatized, stop-words included",50,9,50,2604,433,2171,289,270,0.9342560553633218,38,232,9,10,0.8085106382978723,0.7916666666666666,0.1662826420890937,0.8337173579109063,98311,322942
lemm,"Lemmatized, stop-words included",50,10,50,2602,432,2170,291,284,0.9759450171821306,43,241,1,6,0.9772727272727273,0.8775510204081632,0.1660261337432744,0.8339738662567256,103285,315129
lemm,"Lemmatized, stop-words included",100,1,100,2604,433,2171,289,271,0.9377162629757786,47,224,17,1,0.734375,0.9791666666666666,0.1662826420890937,0.8337173579109063,123337,398411
lemm,"Lemmatized, stop-words included",100,2,100,2604,433,2171,289,271,0.9377162629757786,44,227,14,4,0.7586206896551724,0.9166666666666666,0.1662826420890937,0.8337173579109063,123968,386734
lemm,"Lemmatized, stop-words included",100,3,100,2604,433,2171,289,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.1662826420890937,0.8337173579109063,115184,388222
lemm,"Lemmatized, stop-words included",100,4,100,2604,433,2171,289,274,0.9480968858131488,42,232,9,6,0.8235294117647058,0.875,0.1662826420890937,0.8337173579109063,122268,389038
lemm,"Lemmatized, stop-words included",100,5,100,2603,433,2170,290,284,0.9793103448275862,43,241,1,5,0.9772727272727273,0.8958333333333334,0.16634652324241261,0.8336534767575874,127064,390173
lemm,"Lemmatized, stop-words included",100,6,100,2604,433,2171,289,286,0.9896193771626297,45,241,0,3,1.0,0.9375,0.1662826420890937,0.8337173579109063,112426,383208
lemm,"Lemmatized, stop-words included",100,7,100,2604,433,2171,289,278,0.9619377162629758,46,232,9,2,0.8363636363636363,0.9583333333333334,0.1662826420890937,0.8337173579109063,120996,381953
