version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
lemm_stop,"Lemmatized, stop-words removed",50,1,50,2604,433,2171,289,275,0.9515570934256056,42,233,8,6,0.84,0.875,0.1662826420890937,0.8337173579109063,22524,92435
lemm_stop,"Lemmatized, stop-words removed",50,2,50,2604,433,2171,289,275,0.9515570934256056,44,231,10,4,0.8148148148148148,0.9166666666666666,0.1662826420890937,0.8337173579109063,22537,90150
lemm_stop,"Lemmatized, stop-words removed",50,3,50,2604,433,2171,289,275,0.9515570934256056,43,232,9,5,0.8269230769230769,0.8958333333333334,0.1662826420890937,0.8337173579109063,20956,89874
lemm_stop,"Lemmatized, stop-words removed",50,4,50,2604,433,2171,289,272,0.9411764705882353,37,235,6,11,0.8604651162790697,0.7708333333333334,0.1662826420890937,0.8337173579109063,22553,88286
lemm_stop,"Lemmatized, stop-words removed",50,5,50,2603,433,2170,290,270,0.9310344827586207,29,241,1,19,0.9666666666666667,0.6041666666666666,0.16634652324241261,0.8336534767575874,24021,86501
lemm_stop,"Lemmatized, stop-words removed",50,6,50,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,20542,84748
lemm_stop,"Lemmatized, stop-words removed",50,7,50,2604,433,2171,289,271,0.9377162629757786,35,236,5,13,0.875,0.7291666666666666,0.1662826420890937,0.8337173579109063,22750,85330
lemm_stop,"Lemmatized, stop-words removed",50,8,50,2604,433,2171,289,267,0.9238754325259516,38,229,12,10,0.76,0.7916666666666666,0.1662826420890937,0.8337173579109063,23198,91539
lemm_stop,"Lemmatized, stop-words removed",50,9,50,2604,433,2171,289,278,0.9619377162629758,40,238,3,8,0.9302325581395349,0.8333333333333334,0.1662826420890937,0.8337173579109063,23419,86003
lemm_stop,"Lemmatized, stop-words removed",50,10,50,2602,432,2170,291,285,0.979381443298969,44,241,1,5,0.9777777777777777,0.8979591836734694,0.1660261337432744,0.8339738662567256,24787,83378
lemm_stop,"Lemmatized, stop-words removed",100,1,100,2604,433,2171,289,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.1662826420890937,0.8337173579109063,30564,137163
lemm_stop,"Lemmatized, stop-words removed",100,2,100,2604,433,2171,289,281,0.972318339100346,46,235,6,2,0.8846153846153846,0.9583333333333334,0.1662826420890937,0.8337173579109063,31918,132306
lemm_stop,"Lemmatized, stop-words removed",100,3,100,2604,433,2171,289,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.1662826420890937,0.8337173579109063,28341,133571
lemm_stop,"Lemmatized, stop-words removed",100,4,100,2604,433,2171,289,281,0.972318339100346,46,235,6,2,0.8846153846153846,0.9583333333333334,0.1662826420890937,0.8337173579109063,31803,129300
lemm_stop,"Lemmatized, stop-words removed",100,5,100,2603,433,2170,290,279,0.9620689655172414,37,242,0,11,1.0,0.7708333333333334,0.16634652324241261,0.8336534767575874,32861,127907
lemm_stop,"Lemmatized, stop-words removed",100,6,100,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,27960,126291
lemm_stop,"Lemmatized, stop-words removed",100,7,100,2604,433,2171,289,281,0.972318339100346,43,238,3,5,0.9347826086956522,0.8958333333333334,0.1662826420890937,0.8337173579109063,30211,127492
lemm_stop,"Lemmatized, stop-words removed",100,8,100,2604,433,2171,289,272,0.9411764705882353,42,230,11,6,0.7924528301886793,0.875,0.1662826420890937,0.8337173579109063,31744,135557
