rank,word,training_frequency
1,language,7941
2,university,5813
3,s,5452
4,e,3953
5,mail,3486
6,linguistic,3173
7,de,2950
8,information,2921
9,address,2804
10,one,2782
11,conference,2581
12,send,2196
13,order,2191
14,t,2151
15,please,2135
16,workshop,2106
17,include,2105
18,d,2091
19,work,2067
20,http,2065
21,english,2035
22,paper,2024
23,email,1963
24,program,1882
25,name,1800
26,n,1794
27,word,1785
28,fax,1733
29,papers,1728
30,our,1707
31,edu,1698
32,list,1683
33,follow,1674
34,research,1660
35,www,1633
36,call,1581
37,system,1568
38,abstract,1539
39,report,1463
40,m,1417
41,submission,1410
42,us,1400
43,interest,1390
44,book,1382
45,study,1367
46,c,1366
47,first,1332
48,theory,1311
49,form,1296
50,number,1255
51,receive,1255
52,two,1206
53,uk,1203
54,linguistics,1190
55,session,1150
56,page,1135
57,com,1121
58,th,1089
59,process,1086
60,case,1077
61,state,1069
62,text,1068
63,usa,1068
64,available,1065
65,each,1060
66,free,1057
67,author,1052
68,grammar,1049
69,o,1047
70,speech,1045
71,l,1019
72,day,1013
73,student,1003
74,many,993
75,web,989
76,copy,988
77,science,987
78,question,986
79,issue,986
80,between,971
81,p,969
82,registration,968
83,contact,955
84,u,953
85,base,936
86,b,928
87,provide,927
88,write,920
89,analysis,916
90,ac,905
91,international,904
92,computer,899
93,money,892
94,speaker,890
95,most,885
96,department,884
97,structure,884
98,over,881
99,site,872
100,must,869
101,those,868
102,linguist,858
103,area,855
104,present,854
105,g,847
106,syntax,844
107,here,827
108,discussion,824
109,example,824
110,different,824
111,need,816
112,world,805
113,h,800
114,learn,791
115,john,788
116,reference,788
117,even,776
118,submit,773
119,invite,762
120,place,756
121,topic,756
122,business,755
123,both,753
124,part,752
125,special,745
126,discourse,742
127,la,736
128,internet,733
129,read,732
130,r,730
131,application,723
132,subject,721
133,approach,716
134,where,710
135,change,709
136,below,707
137,j,702
138,phone,702
139,check,691
140,x,691
141,course,688
142,level,687
143,type,687
144,etc,685
145,title,678
146,second,673
147,within,673
148,acquisition,672
149,publish,670
150,committee,670
151,further,669
152,before,665
153,want,664
154,much,658
155,technology,644
156,html,643
157,semantic,642
158,datum,637
159,pp,637
160,general,636
161,school,634
162,after,633
163,same,632
164,re,624
165,note,623
166,problem,623
167,offer,619
168,software,618
169,review,617
170,letter,616
171,relate,613
172,deadline,613
173,point,608
174,development,608
175,translation,608
176,model,607
177,teach,604
178,field,602
179,line,601
180,v,594
181,non,590
182,institute,588
183,post,586
184,method,586
185,show,584
186,verb,583
187,minute,582
188,through,580
189,aspect,578
190,accept,575
191,hold,570
192,service,569
193,start,568
194,tel,567
195,presentation,559
196,natural,555
197,message,554
198,cognitive,553
199,break,552
200,week,551
201,lexical,551
202,speak,550
203,knowledge,550
204,result,545
205,detail,543
206,mean,542
207,position,541
208,full,539
209,phonology,538
210,term,537
211,fee,535
212,computational,534
213,card,534
214,chair,534
215,possible,533
216,resource,530
217,focus,529
218,help,528
219,publication,527
220,member,526
221,participant,526
222,feature,526
223,le,524
224,volume,522
225,thank,521
226,file,519
227,three,518
228,best,517
229,corpus,516
230,price,515
231,german,513
232,communication,512
233,account,512
234,market,512
235,june,510
236,american,508
237,own,504
238,context,500
239,apply,499
240,important,499
241,social,495
242,group,494
243,ed,493
244,dr,492
245,home,492
246,st,490
247,mark,486
248,date,485
249,every,484
250,press,483
251,spanish,482
252,french,479
253,require,477
254,ask,476
255,european,476
256,proposal,476
257,per,475
258,product,474
259,ca,472
260,seem,470
261,august,470
262,talk,465
263,canada,463
264,request,460
265,credit,460
266,k,459
267,cost,455
268,least,453
269,f,453
270,response,453
271,experience,451
272,above,449
273,since,448
274,child,448
275,set,448
276,pay,447
277,syntactic,446
278,germany,446
279,construction,445
280,programme,445
281,et,442
282,is,437
283,limit,437
284,a,432
285,electronic,432
286,format,432
287,understand,430
288,human,429
289,meet,427
290,remove,426
291,journal,425
292,box,424
293,however,420
294,consider,418
295,ll,416
296,either,415
297,theoretical,415
298,evaluation,411
299,rule,411
300,tell,410
301,vium,408
302,sentence,407
303,several,406
304,contain,406
305,four,403
306,while,402
307,under,402
308,back,400
309,york,400
310,support,398
311,july,398
312,september,396
313,march,395
314,anyone,394
315,france,393
316,semantics,392
317,hour,392
318,summary,392
319,opportunity,392
320,fact,390
321,city,390
322,advance,389
323,article,388
324,version,388
325,room,387
326,try,387
327,april,386
328,another,385
329,right,385
330,benjamin,385
331,project,383
332,description,383
333,dialect,382
334,current,380
335,plan,380
336,let,379
337,person,378
338,final,377
339,why,377
340,logic,376
341,few,375
342,representation,375
343,object,374
344,constraint,374
345,researcher,374
346,wish,373
347,section,373
348,view,372
349,open,371
350,en,371
351,discuss,370
352,long,370
353,machine,370
354,single,369
355,affiliation,369
356,end,369
357,w,366
358,organize,366
359,nl,366
360,major,365
361,content,365
362,without,364
363,main,364
364,win,364
365,tutorial,364
366,coffee,363
367,movement,363
368,thing,362
369,little,362
370,college,362
371,particular,362
372,standard,361
373,various,361
374,japanese,359
375,specific,358
376,source,357
377,theme,357
378,reason,357
379,develop,356
380,whether,352
381,national,352
382,education,351
383,still,351
384,hotel,350
385,become,350
386,morphology,350
387,sound,349
388,society,348
389,add,348
390,complete,346
391,code,346
392,bulk,345
393,acl,344
394,due,343
395,argument,342
396,great,341
397,allow,341
398,lexicon,340
399,association,339
400,symposium,338
401,today,337
402,company,337
403,lunch,336
404,contribution,335
405,bring,335
406,pragmatic,333
407,chinese,333
408,london,332
409,role,331
410,vowel,331
411,individual,331
412,david,330
413,query,328
414,cd,328
415,grammatical,326
416,original,325
417,together,325
418,relation,324
419,month,323
420,involve,323
421,sign,323
422,history,321
423,domain,321
424,native,320
425,ve,320
426,cover,319
427,answer,319
428,co,318
429,less,317
430,user,317
431,netherland,317
432,idea,316
433,hard,316
434,search,316
435,kind,315
436,van,315
437,access,315
438,build,314
439,again,314
440,professor,313
441,perspective,313
442,wide,312
443,aim,310
444,visit,310
445,center,310
446,phenomenon,309
447,off,309
448,describe,309
449,million,309
450,reply,307
451,appear,307
452,plus,307
453,put,306
454,leave,306
455,rate,306
