version,description,n_words,fold,vocabulary_size,training_documents,training_spam,training_ham,testing_documents,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,prior_spam,prior_ham,spam_word_positions,ham_word_positions
stop,"No lemmatization, stop-words removed",50,1,50,2604,433,2171,289,273,0.9446366782006921,45,228,13,3,0.7758620689655172,0.9375,0.1662826420890937,0.8337173579109063,23474,96223
stop,"No lemmatization, stop-words removed",50,2,50,2604,433,2171,289,271,0.9377162629757786,46,225,16,2,0.7419354838709677,0.9583333333333334,0.1662826420890937,0.8337173579109063,24284,93004
stop,"No lemmatization, stop-words removed",50,3,50,2604,433,2171,289,264,0.9134948096885813,43,221,20,5,0.6825396825396826,0.8958333333333334,0.1662826420890937,0.8337173579109063,21983,93495
stop,"No lemmatization, stop-words removed",50,4,50,2604,433,2171,289,274,0.9480968858131488,42,232,9,6,0.8235294117647058,0.875,0.1662826420890937,0.8337173579109063,23484,92339
stop,"No lemmatization, stop-words removed",50,5,50,2603,433,2170,290,273,0.9413793103448276,32,241,1,16,0.9696969696969697,0.6666666666666666,0.16634652324241261,0.8336534767575874,24724,91608
stop,"No lemmatization, stop-words removed",50,6,50,2604,433,2171,289,284,0.9826989619377162,45,239,2,3,0.9574468085106383,0.9375,0.1662826420890937,0.8337173579109063,21175,90411
stop,"No lemmatization, stop-words removed",50,7,50,2604,433,2171,289,275,0.9515570934256056,44,231,10,4,0.8148148148148148,0.9166666666666666,0.1662826420890937,0.8337173579109063,23557,90330
stop,"No lemmatization, stop-words removed",50,8,50,2604,433,2171,289,267,0.9238754325259516,38,229,12,10,0.76,0.7916666666666666,0.1662826420890937,0.8337173579109063,23843,95486
stop,"No lemmatization, stop-words removed",50,9,50,2604,433,2171,289,277,0.9584775086505191,41,236,5,7,0.8913043478260869,0.8541666666666666,0.1662826420890937,0.8337173579109063,23717,91173
stop,"No lemmatization, stop-words removed",50,10,50,2602,432,2170,291,285,0.979381443298969,43,242,0,6,1.0,0.8775510204081632,0.1660261337432744,0.8339738662567256,25907,88003
stop,"No lemmatization, stop-words removed",100,1,100,2604,433,2171,289,276,0.9550173010380623,48,228,13,0,0.7868852459016393,1.0,0.1662826420890937,0.8337173579109063,32245,134570
stop,"No lemmatization, stop-words removed",100,2,100,2604,433,2171,289,277,0.9584775086505191,46,231,10,2,0.8214285714285714,0.9583333333333334,0.1662826420890937,0.8337173579109063,33192,130051
stop,"No lemmatization, stop-words removed",100,3,100,2604,433,2171,289,277,0.9584775086505191,44,233,8,4,0.8461538461538461,0.9166666666666666,0.1662826420890937,0.8337173579109063,30052,131040
stop,"No lemmatization, stop-words removed",100,4,100,2604,433,2171,289,278,0.9619377162629758,45,233,8,3,0.8490566037735849,0.9375,0.1662826420890937,0.8337173579109063,32790,128210
stop,"No lemmatization, stop-words removed",100,5,100,2603,433,2170,290,282,0.9724137931034482,40,242,0,8,1.0,0.8333333333333334,0.16634652324241261,0.8336534767575874,34061,127568
stop,"No lemmatization, stop-words removed",100,6,100,2604,433,2171,289,286,0.9896193771626297,46,240,1,2,0.9787234042553191,0.9583333333333334,0.1662826420890937,0.8337173579109063,29482,126488
stop,"No lemmatization, stop-words removed",100,7,100,2604,433,2171,289,283,0.9792387543252595,46,237,4,2,0.92,0.9583333333333334,0.1662826420890937,0.8337173579109063,32015,126599
stop,"No lemmatization, stop-words removed",100,8,100,2604,433,2171,289,274,0.9480968858131488,43,231,10,5,0.8113207547169812,0.8958333333333334,0.1662826420890937,0.8337173579109063,33624,132811
stop,"No lemmatization, stop-words removed",100,9,100,2604,433,2171,289,276,0.9550173010380623,39,237,4,9,0.9069767441860465,0.8125,0.1662826420890937,0.8337173579109063,32381,127629
stop,"No lemmatization, stop-words removed",100,10,100,2602,432,2170,291,286,0.9828178694158075,44,242,0,5,1.0,0.8979591836734694,0.1660261337432744,0.8339738662567256,35267,122658
stop,"No lemmatization, stop-words removed",500,1,500,2604,433,2171,289,278,0.9619377162629758,47,231,10,1,0.8245614035087719,0.9791666666666666,0.1662826420890937,0.8337173579109063,66069,275571
stop,"No lemmatization, stop-words removed",500,2,500,2604,433,2171,289,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.1662826420890937,0.8337173579109063,66863,267141
stop,"No lemmatization, stop-words removed",500,3,500,2604,433,2171,289,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.1662826420890937,0.8337173579109063,61936,268169
stop,"No lemmatization, stop-words removed",500,4,500,2604,433,2171,289,284,0.9826989619377162,47,237,4,1,0.9215686274509803,0.9791666666666666,0.1662826420890937,0.8337173579109063,65661,263776
stop,"No lemmatization, stop-words removed",500,5,500,2603,433,2170,290,283,0.9758620689655172,41,242,0,7,1.0,0.8541666666666666,0.16634652324241261,0.8336534767575874,69628,261255
stop,"No lemmatization, stop-words removed",500,6,500,2604,433,2171,289,288,0.9965397923875432,47,241,0,1,1.0,0.9791666666666666,0.1662826420890937,0.8337173579109063,60262,258276
stop,"No lemmatization, stop-words removed",500,7,500,2604,433,2171,289,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.1662826420890937,0.8337173579109063,65121,259083
stop,"No lemmatization, stop-words removed",500,8,500,2604,433,2171,289,279,0.9653979238754326,46,233,8,2,0.8518518518518519,0.9583333333333334,0.1662826420890937,0.8337173579109063,68135,272753
stop,"No lemmatization, stop-words removed",500,9,500,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,66259,261189
stop,"No lemmatization, stop-words removed",500,10,500,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,70159,252025
stop,"No lemmatization, stop-words removed",1000,1,1000,2604,433,2171,289,279,0.9653979238754326,47,232,9,1,0.8392857142857143,0.9791666666666666,0.1662826420890937,0.8337173579109063,85588,356217
stop,"No lemmatization, stop-words removed",1000,2,1000,2604,433,2171,289,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.1662826420890937,0.8337173579109063,86899,344834
stop,"No lemmatization, stop-words removed",1000,3,1000,2604,433,2171,289,286,0.9896193771626297,47,239,2,1,0.9591836734693877,0.9791666666666666,0.1662826420890937,0.8337173579109063,80449,346578
stop,"No lemmatization, stop-words removed",1000,4,1000,2604,433,2171,289,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.1662826420890937,0.8337173579109063,84338,342003
stop,"No lemmatization, stop-words removed",1000,5,1000,2603,433,2170,290,285,0.9827586206896551,43,242,0,5,1.0,0.8958333333333334,0.16634652324241261,0.8336534767575874,89013,338623
stop,"No lemmatization, stop-words removed",1000,6,1000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,78047,334169
stop,"No lemmatization, stop-words removed",1000,7,1000,2604,433,2171,289,285,0.986159169550173,47,238,3,1,0.94,0.9791666666666666,0.1662826420890937,0.8337173579109063,84117,335858
stop,"No lemmatization, stop-words removed",1000,8,1000,2604,433,2171,289,280,0.9688581314878892,47,233,8,1,0.8545454545454545,0.9791666666666666,0.1662826420890937,0.8337173579109063,88086,352854
stop,"No lemmatization, stop-words removed",1000,9,1000,2604,433,2171,289,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.1662826420890937,0.8337173579109063,85592,337998
stop,"No lemmatization, stop-words removed",1000,10,1000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,90346,326225
stop,"No lemmatization, stop-words removed",5000,1,5000,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,121521,530288
stop,"No lemmatization, stop-words removed",5000,2,5000,2604,433,2171,289,283,0.9792387543252595,47,236,5,1,0.9038461538461539,0.9791666666666666,0.1662826420890937,0.8337173579109063,122726,513977
stop,"No lemmatization, stop-words removed",5000,3,5000,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,114961,515190
stop,"No lemmatization, stop-words removed",5000,4,5000,2604,433,2171,289,285,0.986159169550173,48,237,4,0,0.9230769230769231,1.0,0.1662826420890937,0.8337173579109063,120013,509851
stop,"No lemmatization, stop-words removed",5000,5,5000,2603,433,2170,290,289,0.996551724137931,47,242,0,1,1.0,0.9791666666666666,0.16634652324241261,0.8336534767575874,125163,505878
stop,"No lemmatization, stop-words removed",5000,6,5000,2604,433,2171,289,289,1.0,48,241,0,0,1.0,1.0,0.1662826420890937,0.8337173579109063,110599,500922
stop,"No lemmatization, stop-words removed",5000,7,5000,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,119154,502010
stop,"No lemmatization, stop-words removed",5000,8,5000,2604,433,2171,289,283,0.9792387543252595,48,235,6,0,0.8888888888888888,1.0,0.1662826420890937,0.8337173579109063,125134,524709
stop,"No lemmatization, stop-words removed",5000,9,5000,2604,433,2171,289,282,0.9757785467128027,42,240,1,6,0.9767441860465116,0.875,0.1662826420890937,0.8337173579109063,120675,504846
stop,"No lemmatization, stop-words removed",5000,10,5000,2602,432,2170,291,288,0.9896907216494846,46,242,0,3,1.0,0.9387755102040817,0.1660261337432744,0.8339738662567256,126367,488001
stop,"No lemmatization, stop-words removed",all,1,52060,2604,433,2171,289,287,0.9930795847750865,47,240,1,1,0.9791666666666666,0.9791666666666666,0.1662826420890937,0.8337173579109063,140742,661475
stop,"No lemmatization, stop-words removed",all,2,51596,2604,433,2171,289,286,0.9896193771626297,48,238,3,0,0.9411764705882353,1.0,0.1662826420890937,0.8337173579109063,142201,641927
stop,"No lemmatization, stop-words removed",all,3,51420,2604,433,2171,289,287,0.9930795847750865,48,239,2,0,0.96,1.0,0.1662826420890937,0.8337173579109063,133580,643250
