rank,word,training_frequency
1,is,12126
2,are,6534
3,language,6093
4,university,6046
5,s,5639
6,e,4051
7,linguistics,3067
8,mail,3063
9,information,2983
10,one,2701
11,conference,2640
12,de,2626
13,papers,2521
14,t,2354
15,d,2322
16,languages,2202
17,http,2139
18,english,2139
19,please,2111
20,address,1967
21,workshop,1883
22,has,1865
23,was,1846
24,n,1841
25,edu,1828
26,email,1821
27,fax,1788
28,research,1740
29,www,1722
30,our,1705
31,m,1544
32,program,1521
33,order,1495
34,linguistic,1438
35,name,1428
36,us,1427
37,send,1403
38,first,1358
39,call,1345
40,paper,1321
41,uk,1286
42,two,1268
43,work,1263
44,list,1203
45,com,1201
46,l,1199
47,o,1184
48,c,1152
49,th,1149
50,theory,1149
51,been,1147
52,free,1132
53,usa,1115
54,following,1111
55,web,1103
56,speech,1098
57,available,1097
58,number,1094
59,book,1089
60,u,1087
61,p,1085
62,each,1069
63,report,1045
64,registration,1021
65,between,1005
66,b,963
67,systems,959
68,international,951
69,form,951
70,ac,951
71,g,945
72,many,938
73,contact,931
74,word,928
75,h,925
76,grammar,902
77,abstracts,895
78,case,893
79,those,881
80,syntax,880
81,include,878
82,computer,877
83,must,874
84,money,874
85,analysis,870
86,based,863
87,most,863
88,discourse,862
89,department,854
90,over,847
91,j,844
92,text,837
93,session,837
94,state,831
95,am,831
96,words,829
97,here,824
98,john,812
99,including,810
100,different,810
