rank,word,training_frequency
1,is,12126
2,are,6534
3,language,6093
4,university,6046
5,s,5639
6,e,4051
7,linguistics,3067
8,mail,3063
9,information,2983
10,one,2701
11,conference,2640
12,de,2626
13,papers,2521
14,t,2354
15,d,2322
16,languages,2202
17,http,2139
18,english,2139
19,please,2111
20,address,1967
21,workshop,1883
22,has,1865
23,was,1846
24,n,1841
25,edu,1828
26,email,1821
27,fax,1788
28,research,1740
29,www,1722
30,our,1705
31,m,1544
32,program,1521
33,order,1495
34,linguistic,1438
35,name,1428
36,us,1427
37,send,1403
38,first,1358
39,call,1345
40,paper,1321
41,uk,1286
42,two,1268
43,work,1263
44,list,1203
45,com,1201
46,l,1199
47,o,1184
48,c,1152
49,th,1149
50,theory,1149
51,been,1147
52,free,1132
53,usa,1115
54,following,1111
55,web,1103
56,speech,1098
57,available,1097
58,number,1094
59,book,1089
60,u,1087
61,p,1085
62,each,1069
63,report,1045
64,registration,1021
65,between,1005
66,b,963
67,systems,959
68,international,951
69,form,951
70,ac,951
71,g,945
72,many,938
73,contact,931
74,word,928
75,h,925
76,grammar,902
77,abstracts,895
78,case,893
79,those,881
80,syntax,880
81,include,878
82,computer,877
83,must,874
84,money,874
85,analysis,870
86,based,863
87,most,863
88,discourse,862
89,department,854
90,over,847
91,j,844
92,text,837
93,session,837
94,state,831
95,am,831
96,words,829
97,here,824
98,john,812
99,including,810
100,different,810
101,world,805
102,does,803
103,addresses,802
104,r,797
105,studies,776
106,abstract,772
107,site,771
108,internet,770
109,discussion,768
110,submission,765
111,business,762
112,both,754
113,science,748
114,la,747
115,page,743
116,data,739
117,below,736
118,x,733
119,where,731
120,system,728
121,submissions,726
122,special,725
123,second,713
124,phone,709
125,etc,707
126,sent,703
127,acquisition,698
128,had,697
129,further,696
130,committee,695
131,used,689
132,speakers,684
133,pp,676
134,structure,674
135,html,673
136,within,672
137,before,667
138,were,667
139,semantics,666
140,even,660
141,after,658
142,invited,657
143,general,656
144,part,655
145,day,650
146,software,645
147,using,644
148,non,642
149,issues,634
150,same,634
151,processing,630
152,institute,624
153,received,621
154,much,619
155,place,612
156,deadline,608
157,questions,603
158,subject,598
159,natural,598
160,students,597
161,tel,595
162,through,591
163,author,588
164,re,586
165,knowledge,586
166,title,584
167,copy,584
168,study,580
169,cognitive,579
170,translation,579
171,receive,579
172,made,576
173,lexical,575
174,phonology,571
175,computational,564
176,learning,563
177,interest,561
178,german,557
179,development,553
180,possible,552
181,level,551
182,want,548
183,v,548
184,need,545
185,three,544
186,volume,542
187,full,540
188,august,528
189,june,527
190,f,523
191,best,523
192,press,522
193,k,521
194,technology,521
195,interested,520
196,social,515
197,chair,514
198,check,512
199,important,510
200,change,510
201,orders,509
202,related,504
203,participants,504
204,held,503
205,date,501
206,break,501
207,european,500
208,st,499
209,et,498
210,course,497
211,line,496
212,being,496
213,french,496
214,spanish,496
215,school,494
216,dr,494
