version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
bare,50,1,1,289,48,241,262,0.9065743944636678,46,216,25,2,0.647887323943662,0.9583333333333334,0.9065743944636678,0.8339100346020761,1.7777777777777777
bare,50,9,1,289,48,241,277,0.9584775086505191,46,231,10,2,0.8214285714285714,0.9583333333333334,0.9585024808299504,0.9783491204330176,0.5217391304347826
bare,50,99,1,289,48,241,280,0.9688581314878892,45,235,6,3,0.8823529411764706,0.9375,0.9750282344083323,0.9979922198519262,0.08040201005025126
bare,50,1,2,289,48,241,263,0.9100346020761245,44,219,22,4,0.6666666666666666,0.9166666666666666,0.9100346020761245,0.8339100346020761,1.8461538461538463
bare,50,9,2,289,48,241,268,0.9273356401384083,42,226,15,6,0.7368421052631579,0.875,0.9364005412719891,0.9783491204330176,0.3404255319148936
bare,50,99,2,289,48,241,266,0.9204152249134948,38,228,13,10,0.7450980392156863,0.7916666666666666,0.9457481072489229,0.9979922198519262,0.03700848111025443
bare,50,1,3,289,48,241,270,0.9342560553633218,47,223,18,1,0.7230769230769231,0.9791666666666666,0.9342560553633218,0.8339100346020761,2.526315789473684
bare,50,9,3,289,48,241,274,0.9480968858131488,45,229,12,3,0.7894736842105263,0.9375,0.9499323410013532,0.9783491204330176,0.43243243243243246
bare,50,99,3,289,48,241,272,0.9411764705882353,42,230,11,6,0.7924528301886793,0.875,0.9541975153720668,0.9979922198519262,0.043835616438356165
bare,50,1,4,289,48,241,268,0.9273356401384083,41,227,14,7,0.7454545454545455,0.8541666666666666,0.9273356401384083,0.8339100346020761,2.2857142857142856
bare,50,9,4,289,48,241,268,0.9273356401384083,39,229,12,9,0.7647058823529411,0.8125,0.9472259810554804,0.9783491204330176,0.41025641025641024
bare,50,99,4,289,48,241,271,0.9377162629757786,38,233,8,10,0.8260869565217391,0.7916666666666666,0.9664533400259339,0.9979922198519262,0.059850374064837904
bare,50,1,5,290,48,242,282,0.9724137931034482,41,241,1,7,0.9761904761904762,0.8541666666666666,0.9724137931034482,0.8344827586206897,6.0
bare,50,9,5,290,48,242,280,0.9655172413793104,38,242,0,10,1.0,0.7916666666666666,0.995507637017071,0.9784366576819407,4.8
bare,50,99,5,290,48,242,275,0.9482758620689655,33,242,0,15,1.0,0.6875,0.9993751562109473,0.9980004998750313,3.2
bare,50,1,6,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.9826989619377162,0.8339100346020761,9.6
bare,50,9,6,289,48,241,284,0.9826989619377162,43,241,0,5,1.0,0.8958333333333334,0.997744700045106,0.9783491204330176,9.6
bare,50,99,6,289,48,241,283,0.9792387543252595,42,241,0,6,1.0,0.875,0.9997490274814907,0.9979922198519262,8.0
bare,50,1,7,289,48,241,272,0.9411764705882353,46,226,15,2,0.7540983606557377,0.9583333333333334,0.9411764705882353,0.8339100346020761,2.823529411764706
bare,50,9,7,289,48,241,274,0.9480968858131488,43,231,10,5,0.8113207547169812,0.8958333333333334,0.957149300857014,0.9783491204330176,0.5052631578947369
