version,n_words,lambda,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
bare,50,1,2893,481,2412,2712,0.9374351883857587,427,2285,127,54,0.7707581227436823,0.8877338877338877,0.9374351883857587,0.8337366055997235,2.657458563535912
bare,50,9,2893,481,2412,2742,0.9478050466643623,413,2329,83,68,0.8326612903225806,0.8586278586278586,0.9632700887827301,0.9783225922754518,0.5901840490797546
bare,50,99,2893,481,2412,2736,0.9457310750086415,388,2348,64,93,0.8584070796460177,0.8066528066528067,0.973130660470015,0.9979897103260347,0.07481723440659512
bare,100,1,2893,481,2412,2757,0.9529899758036641,437,2320,92,44,0.8260869565217391,0.9085239085239085,0.9529899758036641,0.8337366055997235,3.536764705882353
bare,100,9,2893,481,2412,2769,0.9571379191151054,422,2347,65,59,0.86652977412731,0.8773388773388774,0.9709766100319979,0.9783225922754518,0.7468944099378882
bare,100,99,2893,481,2412,2769,0.9571379191151054,399,2370,42,82,0.9047619047619048,0.8295218295218295,0.9822793592149421,0.9979897103260347,0.1134433962264151
bare,500,1,2893,481,2412,2804,0.9692360871068095,458,2346,66,23,0.8740458015267175,0.9521829521829522,0.9692360871068095,0.8337366055997235,5.404494382022472
bare,500,9,2893,481,2412,2809,0.9709643968199101,448,2361,51,33,0.8977955911823647,0.9313929313929314,0.9778268511424579,0.9783225922754518,0.9776422764227642
bare,500,99,2893,481,2412,2816,0.973384030418251,443,2373,39,38,0.9190871369294605,0.920997920997921,0.9837045333912876,0.9979897103260347,0.12336496537573736
bare,1000,1,2893,481,2412,2828,0.9775319737296924,469,2359,53,12,0.8984674329501916,0.975051975051975,0.9775319737296924,0.8337366055997235,7.4
bare,1000,9,2893,481,2412,2833,0.9792602834427929,461,2372,40,20,0.9201596806387226,0.9584199584199584,0.9828743972238496,0.9783225922754518,1.2657894736842106
bare,1000,99,2893,481,2412,2836,0.9802972692706533,454,2382,30,27,0.9380165289256198,0.9438669438669439,0.987474348954524,0.9979897103260347,0.16049382716049382
bare,5000,1,2893,481,2412,2850,0.9851365364673349,473,2377,35,8,0.9311023622047244,0.9833679833679834,0.9851365364673349,0.8337366055997235,11.186046511627907
bare,5000,9,2893,481,2412,2854,0.9865191842378154,472,2382,30,9,0.9402390438247012,0.9812889812889813,0.9874262021722475,0.9783225922754518,1.7240143369175627
bare,5000,99,2893,481,2412,2855,0.9868648461804356,468,2387,25,13,0.949290060851927,0.972972972972973,0.9896016617280132,0.9979897103260347,0.19332797427652734
bare,all,1,2893,481,2412,2865,0.9903214656066367,475,2390,22,6,0.9557344064386318,0.9875259875259875,0.9903214656066367,0.8337366055997235,17.178571428571427
bare,all,9,2893,481,2412,2869,0.9917041133771172,475,2394,18,6,0.9634888438133874,0.9875259875259875,0.9924286808779125,0.9783225922754518,2.863095238095238
bare,all,99,2893,481,2412,2870,0.9920497753197373,473,2397,15,8,0.9692622950819673,0.9833679833679834,0.9937601611575256,0.9979897103260347,0.3221701272605492
stop,50,1,2893,481,2412,2743,0.9481507086069824,419,2324,88,62,0.8264299802761341,0.8711018711018711,0.9481507086069824,0.8337366055997235,3.2066666666666666
stop,50,9,2893,481,2412,2724,0.9415831316972001,365,2359,53,116,0.8732057416267942,0.7588357588357588,0.9732750461940601,0.9783225922754518,0.8111298482293423
stop,50,99,2893,481,2412,2709,0.9363982025578984,322,2387,25,159,0.9279538904899135,0.6694386694386695,0.988991469851924,0.9979897103260347,0.18261199696279423
stop,100,1,2893,481,2412,2795,0.9661251296232285,441,2354,58,40,0.8837675350701403,0.9168399168399168,0.9661251296232285,0.8337366055997235,4.908163265306122
stop,100,9,2893,481,2412,2795,0.9661251296232285,411,2384,28,70,0.9362186788154897,0.8544698544698545,0.9854883050159989,0.9783225922754518,1.4937888198757765
stop,100,99,2893,481,2412,2774,0.958866228828206,377,2397,15,104,0.9617346938775511,0.7837837837837838,0.9933589391020149,0.9979897103260347,0.302706104468219
stop,500,1,2893,481,2412,2834,0.979605945385413,457,2377,35,24,0.9288617886178862,0.9501039501039501,0.979605945385413,0.8337366055997235,8.152542372881356
stop,500,9,2893,481,2412,2838,0.9809885931558935,452,2386,26,29,0.9456066945606695,0.9397089397089398,0.9881472801838749,0.9783225922754518,1.8288973384030418
stop,500,99,2893,481,2412,2836,0.9802972692706533,442,2394,18,39,0.9608695652173913,0.918918918918919,0.9923893191345305,0.9979897103260347,0.2641405820977485
stop,1000,1,2893,481,2412,2848,0.9844452125820947,462,2386,26,19,0.9467213114754098,0.9604989604989606,0.9844452125820947,0.8337366055997235,10.688888888888888
stop,1000,9,2893,481,2412,2853,0.9861735222951953,456,2397,15,25,0.9681528662420382,0.9480249480249481,0.9927892198837261,0.9783225922754518,3.00625
stop,1000,99,2893,481,2412,2849,0.9847908745247148,450,2399,13,31,0.9719222462203023,0.9355509355509356,0.9944915555295504,0.9979897103260347,0.36494688922610014
stop,5000,1,2893,481,2412,2858,0.9879018320082958,468,2390,22,13,0.9551020408163265,0.972972972972973,0.9879018320082958,0.8337366055997235,13.742857142857142
stop,5000,9,2893,481,2412,2857,0.9875561700656758,464,2393,19,17,0.9606625258799172,0.9646569646569647,0.9915273333633783,0.9783225922754518,2.5585106382978724
stop,5000,99,2893,481,2412,2861,0.9889388178361562,463,2398,14,18,0.9706498951781971,0.9625779625779626,0.9941321274381554,0.9979897103260347,0.3425925925925926
stop,all,1,2893,481,2412,2870,0.9920497753197373,470,2400,12,11,0.975103734439834,0.9771309771309772,0.9920497753197373,0.8337366055997235,20.91304347826087
stop,all,9,2893,481,2412,2870,0.9920497753197373,469,2401,11,12,0.9770833333333333,0.975051975051975,0.994997521294335,0.9783225922754518,4.333333333333333
