version,n_words,lambda,fold,testing_documents,number_spam,number_ham,correct,accuracy,TP,TN,FP,FN,spam_precision,spam_recall,weighted_accuracy,baseline_weighted_accuracy,TCR
stop,50,1,1,289,48,241,273,0.9446366782006921,45,228,13,3,0.7758620689655172,0.9375,0.9446366782006921,0.8339100346020761,3.0
stop,50,9,1,289,48,241,272,0.9411764705882353,38,234,7,10,0.8444444444444444,0.7916666666666666,0.9670726206585476,0.9783491204330176,0.6575342465753424
stop,50,99,1,289,48,241,272,0.9411764705882353,33,239,2,15,0.9428571428571428,0.6875,0.9910904755929226,0.9979922198519262,0.22535211267605634
stop,50,1,2,289,48,241,271,0.9377162629757786,46,225,16,2,0.7419354838709677,0.9583333333333334,0.9377162629757786,0.8339100346020761,2.6666666666666665
stop,50,9,2,289,48,241,274,0.9480968858131488,43,231,10,5,0.8113207547169812,0.8958333333333334,0.957149300857014,0.9783491204330176,0.5052631578947369
stop,50,99,2,289,48,241,273,0.9446366782006921,39,234,7,9,0.8478260869565217,0.8125,0.9706362153344209,0.9979922198519262,0.06837606837606838
stop,50,1,3,289,48,241,264,0.9134948096885813,43,221,20,5,0.6825396825396826,0.8958333333333334,0.9134948096885813,0.8339100346020761,1.92
stop,50,9,3,289,48,241,267,0.9238754325259516,40,227,14,8,0.7407407407407407,0.8333333333333334,0.9395579612088408,0.9783491204330176,0.3582089552238806
stop,50,99,3,289,48,241,268,0.9273356401384083,36,232,9,12,0.8,0.75,0.9622286359643619,0.9979922198519262,0.053156146179401995
stop,50,1,4,289,48,241,274,0.9480968858131488,42,232,9,6,0.8235294117647058,0.875,0.9480968858131488,0.8339100346020761,3.2
stop,50,9,4,289,48,241,271,0.9377162629757786,37,234,7,11,0.8409090909090909,0.7708333333333334,0.9666215606675688,0.9783491204330176,0.6486486486486487
stop,50,99,4,289,48,241,270,0.9342560553633218,32,238,3,16,0.9142857142857143,0.6666666666666666,0.9869076002844355,0.9979922198519262,0.15335463258785942
stop,50,1,5,290,48,242,273,0.9413793103448276,32,241,1,16,0.9696969696969697,0.6666666666666666,0.9413793103448276,0.8344827586206897,2.823529411764706
stop,50,9,5,290,48,242,271,0.9344827586206896,29,242,0,19,1.0,0.6041666666666666,0.9914645103324349,0.9784366576819407,2.526315789473684
stop,50,99,5,290,48,242,266,0.9172413793103448,24,242,0,24,1.0,0.5,0.9990002499375156,0.9980004998750313,2.0
stop,50,1,6,289,48,241,284,0.9826989619377162,45,239,2,3,0.9574468085106383,0.9375,0.9826989619377162,0.8339100346020761,9.6
stop,50,9,6,289,48,241,281,0.972318339100346,40,241,0,8,1.0,0.8333333333333334,0.9963915200721696,0.9783491204330176,6.0
stop,50,99,6,289,48,241,278,0.9619377162629758,37,241,0,11,1.0,0.7708333333333334,0.9995398837160664,0.9979922198519262,4.363636363636363
stop,50,1,7,289,48,241,275,0.9515570934256056,44,231,10,4,0.8148148148148148,0.9166666666666666,0.9515570934256056,0.8339100346020761,3.4285714285714284
stop,50,9,7,289,48,241,272,0.9411764705882353,37,235,6,11,0.8604651162790697,0.7708333333333334,0.970681100586378,0.9783491204330176,0.7384615384615385
stop,50,99,7,289,48,241,271,0.9377162629757786,32,239,2,16,0.9411764705882353,0.6666666666666666,0.9910486468398377,0.9979922198519262,0.22429906542056074
